"Tree","Tree_height","Cone_CI","Cylinder_CI","Tree_number","Tree_label"
"9_Tree1_cut",22.8,40284,102075,1,"Tree 1"
"9_Tree2_cut",20.8,64909,124601,2,"Tree 2"
"9_Tree3_cut",24.4,4699,86417,3,"Tree 3"
"9_Tree4_cut",24,39039,107701,4,"Tree 4"
"9_Tree5_cut",26.4,20708,146287,5,"Tree 5"
"9_Tree6_cut",27,42926,126249,6,"Tree 6"
"9_Tree7_cut",27.9,53828,140130,7,"Tree 7"
"9_Tree8_cut",21,178060,147374,8,"Tree 8"
"9_Tree9_cut",26.9,43908,121865,9,"Tree 9"
"9_Tree10_cut",26.5,50830,141434,10,"Tree 10"
"9_Tree11_cut",25.1,38681,130548,11,"Tree 11"
"9_Tree13_cut",25.1,24733,101734,13,"Tree 13"
"9_Tree14_cut",21.4,88504,130102,14,"Tree 14"
"9_Tree17_cut",19.3,46274,140784,17,"Tree 17"
"9_Tree18_cut",16.6,76929,139511,18,"Tree 18"
"9_Tree19_cut",22,7006,88417,19,"Tree 19"
"9_Tree20_cut",20.9,42669,112254,20,"Tree 20"
"9_Tree22_cut",23.3,68470,133946,22,"Tree 22"
